Es,Sx,Sxx,Sy,Syy,P-10,P-9,P-8,P-7,P-6,P-5,P-4,P-3,P-2,P-1,P0
(0.2617305546984098+0j),[0.21043106],[1.],[0.70777363],[1.],[0.21548834],[0.17623155],[0.17557221],[0.17451037],[0.17288744],[0.17083326],[0.16866189],[0.16607088],[0.16316287],[0.16037367],[0.15929991]
(0.2681458118730961+0j),[0.21549986],[1.],[0.70847919],[1.],[0.21444559],[0.17557247],[0.17451061],[0.17288768],[0.1708335],[0.16866211],[0.16607108],[0.16316305],[0.16037385],[0.1593001],[0.15964593]
(0.27388206691603134+0j),[0.21933651],[1.],[0.70777365],[1.],[0.21291617],[0.17451088],[0.17288794],[0.17083375],[0.16866237],[0.16607131],[0.16316326],[0.16037404],[0.1593003],[0.15964615],[0.15964247]
(0.27876558144860936+0j),[0.22200861],[1.],[0.70569798],[1.],[0.2110617],[0.17288827],[0.17083405],[0.16866265],[0.1660716],[0.16316354],[0.16037429],[0.15930053],[0.15964639],[0.15964273],[0.15932512]
(0.28298195744814947+0j),[0.22354069],[1.],[0.7027434],[1.],[0.20874467],[0.17083442],[0.16866298],[0.16607191],[0.16316384],[0.16037458],[0.1593008],[0.15964664],[0.159643],[0.15932541],[0.15875477]
(0.28653997528614106+0j),[0.22398063],[1.],[0.69913635],[1.],[0.20612821],[0.1686634],[0.16607227],[0.16316418],[0.16037491],[0.15930112],[0.15964693],[0.15964328],[0.15932571],[0.15875509],[0.15801182]
(0.2854964850387449+0j),[0.22360328],[1.],[0.69053216],[1.],[0.20326464],[0.16607276],[0.16316459],[0.16037529],[0.15930149],[0.1596473],[0.15964362],[0.15932605],[0.15875546],[0.15801221],[0.15662558]
(0.28413846500680834+0j),[0.22257651],[1.],[0.68255809],[1.],[0.19987704],[0.16316513],[0.16037575],[0.1593019],[0.15964769],[0.15964401],[0.15932642],[0.15875584],[0.15801262],[0.15662602],[0.15475557]
(0.28250532970663755+0j),[0.22090976],[1.],[0.67529604],[1.],[0.1963741],[0.16037631],[0.15930236],[0.15964811],[0.15964442],[0.15932682],[0.15875623],[0.15801304],[0.15662647],[0.15475604],[0.15303695]
(0.27761560842320043+0j),[0.218815],[1.],[0.66503818],[1.],[0.19296837],[0.15930292],[0.15964857],[0.15964484],[0.15932725],[0.15875666],[0.15801345],[0.15662691],[0.1547565],[0.15303742],[0.15105891]
(0.2727516336546799+0j),[0.21680588],[1.],[0.65597425],[1.],[0.1912062],[0.1596491],[0.15964528],[0.15932766],[0.15875707],[0.15801386],[0.15662731],[0.15475692],[0.15303786],[0.15105936],[0.14888122]
(0.26796631065891113+0j),[0.21517044],[1.],[0.64793486],[1.],[0.19094358],[0.15964578],[0.15932807],[0.15875746],[0.15801426],[0.15662769],[0.15475729],[0.15303825],[0.15105976],[0.14888163],[0.14695419]
(0.2590858812928382+0j),[0.21401046],[1.],[0.63486971],[1.],[0.19002916],[0.15932853],[0.15875784],[0.15801461],[0.15662804],[0.15475764],[0.15303859],[0.15106011],[0.148882],[0.14695456],[0.14457678]
(0.25078418315186624+0j),[0.21341688],[1.],[0.62338208],[1.],[0.18849869],[0.15875821],[0.15801492],[0.15662834],[0.15475793],[0.15303888],[0.15106041],[0.14888231],[0.14695488],[0.1445771],[0.14181112]
(0.24309979716385938+0j),[0.21331162],[1.],[0.61336389],[1.],[0.18678407],[0.15801524],[0.15662861],[0.1547582],[0.15303916],[0.15106068],[0.14888257],[0.14695516],[0.14457739],[0.14181141],[0.139389]
(0.2307807118255308+0j),[0.21386414],[1.],[0.59572074],[1.],[0.18444809],[0.1566289],[0.15475846],[0.1530394],[0.15106093],[0.14888281],[0.14695538],[0.14457761],[0.14181164],[0.13938923],[0.1362782]
(0.21961409133539264+0j),[0.2150783],[1.],[0.57994929],[1.],[0.18100505],[0.15475868],[0.15303959],[0.15106111],[0.148883],[0.14695557],[0.14457779],[0.14181181],[0.13938941],[0.13627838],[0.13251357]
(0.20955111196065032+0j),[0.21675392],[1.],[0.56594552],[1.],[0.17717387],[0.15303978],[0.15106128],[0.14888317],[0.14695574],[0.14457796],[0.14181197],[0.13938957],[0.13627854],[0.13251372],[0.12915904]
(0.20410664960566718+0j),[0.2186987],[1.],[0.5609271],[1.],[0.17402256],[0.15106145],[0.14888332],[0.14695589],[0.14457811],[0.14181212],[0.1393897],[0.13627866],[0.13251384],[0.12915916],[0.12701434]
(0.19936144264837186+0j),[0.22063479],[1.],[0.5568821],[1.],[0.17115492],[0.14888347],[0.14695602],[0.14457824],[0.14181225],[0.13938983],[0.13627878],[0.13251395],[0.12915925],[0.12701444],[0.12599456]
(0.19526031290714477+0j),[0.22247587],[1.],[0.55372219],[1.],[0.16820263],[0.14695615],[0.14457836],[0.14181237],[0.13938995],[0.13627889],[0.13251405],[0.12915935],[0.12701453],[0.12599465],[0.12518406]
(0.19219939539746753+0j),[0.22423052],[1.],[0.5523219],[1.],[0.16566715],[0.14457848],[0.14181248],[0.13939005],[0.136279],[0.13251416],[0.12915945],[0.12701463],[0.12599475],[0.12518415],[0.12467168]
