Es,Sx,Sxx,Sy,Syy,P-10,P-9,P-8,P-7,P-6,P-5,P-4,P-3,P-2,P-1,P0
(0.04992387072727752+0j),[0.29457244],[1.],[0.2330218],[1.],[0.07404297],[0.10035391],[0.09598672],[0.09112917],[0.08649575],[0.08160041],[0.07645089],[0.0715271],[0.06621935],[0.06055205],[0.05516492]
(0.04621965686175414+0j),[0.29143068],[1.],[0.21321461],[1.],[0.06829086],[0.09598672],[0.09112917],[0.08649575],[0.08160042],[0.07645089],[0.0715271],[0.06621935],[0.06055205],[0.05516492],[0.05030847]
(0.04279536265884303+0j),[0.28752437],[1.],[0.19462299],[1.],[0.06244718],[0.09112917],[0.08649575],[0.08160042],[0.07645089],[0.0715271],[0.06621935],[0.06055205],[0.05516492],[0.05030847],[0.04597933]
(0.0396197961070205+0j),[0.28281917],[1.],[0.17730407],[1.],[0.05640611],[0.08649575],[0.08160042],[0.07645089],[0.0715271],[0.06621936],[0.06055205],[0.05516492],[0.05030847],[0.04597933],[0.0419307]
(0.03724468904950099+0j),[0.2774079],[1.],[0.16760875],[1.],[0.05123648],[0.08160042],[0.07645089],[0.0715271],[0.06621936],[0.06055205],[0.05516492],[0.05030847],[0.04597933],[0.0419307],[0.03888405]
(0.03496670684280225+0j),[0.27127856],[1.],[0.15888628],[1.],[0.04642987],[0.0764509],[0.0715271],[0.06621936],[0.06055205],[0.05516492],[0.05030847],[0.04597933],[0.0419307],[0.03888405],[0.03680765]
(0.0327784201679639+0j),[0.26444254],[1.],[0.15116543],[1.],[0.0416195],[0.0715271],[0.06621936],[0.06055206],[0.05516492],[0.05030847],[0.04597933],[0.0419307],[0.03888405],[0.03680765],[0.03495384]
(0.03132663844597838+0j),[0.2569891],[1.],[0.1525264],[1.],[0.03773154],[0.06621936],[0.06055206],[0.05516492],[0.05030847],[0.04597933],[0.0419307],[0.03888405],[0.03680765],[0.03495384],[0.0342361]
(0.029910651712150977+0j),[0.24888064],[1.],[0.1545121],[1.],[0.03413218],[0.06055206],[0.05516492],[0.05030847],[0.04597933],[0.0419307],[0.03888405],[0.03680765],[0.03495384],[0.0342361],[0.03461347]
(0.028536529330684804+0j),[0.24010762],[1.],[0.15717234],[1.],[0.03037536],[0.05516492],[0.05030847],[0.04597933],[0.0419307],[0.03888405],[0.03680765],[0.03495384],[0.0342361],[0.03461347],[0.03513732]
(0.028107233973683404+0j),[0.2307709],[1.],[0.17055108],[1.],[0.02766014],[0.05030847],[0.04597933],[0.0419307],[0.03888405],[0.03680765],[0.03495384],[0.0342361],[0.03461347],[0.03513732],[0.03694544]
(0.02780483918408083+0j),[0.22101873],[1.],[0.18400518],[1.],[0.02618054],[0.04597933],[0.0419307],[0.03888406],[0.03680765],[0.03495384],[0.0342361],[0.03461347],[0.03513732],[0.03694544],[0.03997084]
(0.02764607329361083+0j),[0.21100875],[1.],[0.19749717],[1.],[0.02530034],[0.0419307],[0.03888406],[0.03680765],[0.03495384],[0.0342361],[0.03461347],[0.03513732],[0.03694544],[0.03997084],[0.04300907]
(0.02632022633909533+0j),[0.20085612],[1.],[0.198845],[1.],[0.02405784],[0.03888406],[0.03680765],[0.03495384],[0.0342361],[0.03461347],[0.03513732],[0.03694544],[0.03997084],[0.04300907],[0.04468255]
(0.025132348151828646+0j),[0.19080104],[1.],[0.20076041],[1.],[0.02316837],[0.03680765],[0.03495384],[0.0342361],[0.03461347],[0.03513732],[0.03694544],[0.03997084],[0.04300907],[0.04468255],[0.04505068]
