Es,Sx,Sxx,Sy,Syy,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.0003884076566792315+0j),[0.01766926],[1.],[0.03521815],[1.],"(array([0.0067934]), array([0.01284293]))","(array([0.00654027]), array([0.00408761]))","(array([0.00678882]), array([0.00408113]))","(array([0.00713282]), array([0.00405757]))","(array([0.00751761]), array([0.00402743]))","(array([0.00782581]), array([0.00399796]))"
(0.00041433308695901325+0j),[0.01758871],[1.],[0.03669815],[1.],"(array([0.00715178]), array([0.01309706]))","(array([0.00678882]), array([0.00408113]))","(array([0.00713282]), array([0.00405757]))","(array([0.00751761]), array([0.00402743]))","(array([0.00782581]), array([0.00399796]))","(array([0.00810817]), array([0.00397514]))"
(0.00043667701167343246+0j),[0.01756017],[1.],[0.03790815],[1.],"(array([0.00756262]), array([0.01334708]))","(array([0.00713282]), array([0.00405757]))","(array([0.00751761]), array([0.00402743]))","(array([0.00782581]), array([0.00399796]))","(array([0.00810817]), array([0.00397514]))","(array([0.00841145]), array([0.00396285]))"
(0.0004693181420036877+0j),[0.01760109],[1.],[0.03957268],[1.],"(array([0.00806746]), array([0.01360489]))","(array([0.00751761]), array([0.00402743]))","(array([0.00782581]), array([0.00399796]))","(array([0.00810817]), array([0.00397514]))","(array([0.00841145]), array([0.00396285]))","(array([0.00873554]), array([0.00396424]))"
(0.000499081702383883+0j),[0.01771652],[1.],[0.0409977],[1.],"(array([0.00861114]), array([0.01388523]))","(array([0.00782581]), array([0.00399796]))","(array([0.00810817]), array([0.00397514]))","(array([0.00841145]), array([0.00396285]))","(array([0.00873554]), array([0.00396424]))","(array([0.00908387]), array([0.00398187]))"
(0.0005283114840022771+0j),[0.0178881],[1.],[0.04232546],[1.],"(array([0.0090465]), array([0.01414072]))","(array([0.00810817]), array([0.00397514]))","(array([0.00841145]), array([0.00396285]))","(array([0.00873554]), array([0.00396424]))","(array([0.00908387]), array([0.00398187]))","(array([0.00939423]), array([0.00401423]))"
(0.0005665000942664882+0j),[0.01810738],[1.],[0.04400081],[1.],"(array([0.00945999]), array([0.01443315]))","(array([0.00841145]), array([0.00396285]))","(array([0.00873554]), array([0.00396424]))","(array([0.00908387]), array([0.00398187]))","(array([0.00939423]), array([0.00401423]))","(array([0.00973281]), array([0.0040583]))"
(0.0006096450609788747+0j),[0.0183748],[1.],[0.04581058],[1.],"(array([0.00991221]), array([0.01478858]))","(array([0.00873554]), array([0.00396424]))","(array([0.00908387]), array([0.00398187]))","(array([0.00939423]), array([0.00401423]))","(array([0.00973281]), array([0.0040583]))","(array([0.01012574]), array([0.00411317]))"
(0.0006362984282221981+0j),[0.01869045],[1.],[0.04683264],[1.],"(array([0.010339]), array([0.01509934]))","(array([0.00908387]), array([0.00398187]))","(array([0.00939423]), array([0.00401423]))","(array([0.00973281]), array([0.0040583]))","(array([0.01012574]), array([0.00411317]))","(array([0.01044501]), array([0.00417891]))"
(0.000694736192554107+0j),[0.01905475],[1.],[0.04912103],[1.],"(array([0.01080756]), array([0.01547853]))","(array([0.00939423]), array([0.00401423]))","(array([0.00973281]), array([0.0040583]))","(array([0.01012574]), array([0.00411317]))","(array([0.01044501]), array([0.00417891]))","(array([0.01081825]), array([0.00425557]))"
