Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.000479913816845536+0j),[0.00844475],[1.],[0.04297266],[1.],"(array([0.01195258]), array([0.00939659]))","(array([0.00921022]), array([5.15035561e-05]))","(array([0.00978787]), array([0.00012973]))","(array([0.01034862]), array([0.00024156]))","(array([0.0107763]), array([0.00038547]))","(array([0.01086456]), array([0.00055929]))","(array([0.01067272]), array([0.0007603]))","(array([0.01048372]), array([0.00098376]))","(array([0.0102478]), array([0.00122431]))","(array([0.0100156]), array([0.00148272]))","(array([0.00982162]), array([0.00176059]))"
(0.00042065612978672433+0j),[0.00977356],[1.],[0.03981981],[1.],"(array([0.01209859]), array([0.00916234]))","(array([0.00978787]), array([0.00012973]))","(array([0.01034862]), array([0.00024156]))","(array([0.0107763]), array([0.00038547]))","(array([0.01086456]), array([0.00055929]))","(array([0.01067272]), array([0.0007603]))","(array([0.01048372]), array([0.00098376]))","(array([0.0102478]), array([0.00122431]))","(array([0.0100156]), array([0.00148272]))","(array([0.00982162]), array([0.00176059]))","(array([0.0093344]), array([0.00205401]))"
(0.00038079815831357905+0j),[0.01113803],[1.],[0.03738704],[1.],"(array([0.01209839]), array([0.00884701]))","(array([0.01034862]), array([0.00024156]))","(array([0.0107763]), array([0.00038547]))","(array([0.01086456]), array([0.00055929]))","(array([0.01067272]), array([0.0007603]))","(array([0.01048372]), array([0.00098376]))","(array([0.0102478]), array([0.00122431]))","(array([0.0100156]), array([0.00148272]))","(array([0.00982162]), array([0.00176059]))","(array([0.0093344]), array([0.00205401]))","(array([0.00870465]), array([0.00235767]))"
(0.000342661202776247+0j),[0.01252946],[1.],[0.03482018],[1.],"(array([0.01210822]), array([0.00862603]))","(array([0.0107763]), array([0.00038547]))","(array([0.01086456]), array([0.00055929]))","(array([0.01067272]), array([0.0007603]))","(array([0.01048372]), array([0.00098376]))","(array([0.0102478]), array([0.00122431]))","(array([0.0100156]), array([0.00148272]))","(array([0.00982162]), array([0.00176059]))","(array([0.0093344]), array([0.00205401]))","(array([0.00870465]), array([0.00235767]))","(array([0.00814097]), array([0.00266838]))"
(0.00032689497432511033+0j),[0.01391763],[1.],[0.0333577],[1.],"(array([0.01203736]), array([0.00853321]))","(array([0.01086456]), array([0.00055929]))","(array([0.01067272]), array([0.0007603]))","(array([0.01048372]), array([0.00098376]))","(array([0.0102478]), array([0.00122431]))","(array([0.0100156]), array([0.00148272]))","(array([0.00982162]), array([0.00176059]))","(array([0.0093344]), array([0.00205401]))","(array([0.00870465]), array([0.00235767]))","(array([0.00814097]), array([0.00266838]))","(array([0.00768668]), array([0.00298177]))"
(0.00033160365558947873+0j),[0.01523468],[1.],[0.03306336],[1.],"(array([0.01176244]), array([0.00868799]))","(array([0.01067272]), array([0.0007603]))","(array([0.01048372]), array([0.00098376]))","(array([0.0102478]), array([0.00122431]))","(array([0.0100156]), array([0.00148272]))","(array([0.00982162]), array([0.00176059]))","(array([0.0093344]), array([0.00205401]))","(array([0.00870465]), array([0.00235767]))","(array([0.00814097]), array([0.00266838]))","(array([0.00768668]), array([0.00298177]))","(array([0.00748861]), array([0.00328676]))"
(0.0003383953947128297+0j),[0.01642774],[1.],[0.03290248],[1.],"(array([0.01129985]), array([0.00898606]))","(array([0.01048372]), array([0.00098376]))","(array([0.0102478]), array([0.00122431]))","(array([0.0100156]), array([0.00148272]))","(array([0.00982162]), array([0.00176059]))","(array([0.0093344]), array([0.00205401]))","(array([0.00870465]), array([0.00235767]))","(array([0.00814097]), array([0.00266838]))","(array([0.00768668]), array([0.00298177]))","(array([0.00748861]), array([0.00328676]))","(array([0.00743729]), array([0.00356977]))"
(0.00036059975089765403+0j),[0.01750102],[1.],[0.03368851],[1.],"(array([0.01092481]), array([0.00939832]))","(array([0.0102478]), array([0.00122431]))","(array([0.0100156]), array([0.00148272]))","(array([0.00982162]), array([0.00176059]))","(array([0.0093344]), array([0.00205401]))","(array([0.00870465]), array([0.00235767]))","(array([0.00814097]), array([0.00266838]))","(array([0.00768668]), array([0.00298177]))","(array([0.00748861]), array([0.00328676]))","(array([0.00743729]), array([0.00356977]))","(array([0.00750777]), array([0.00382528]))"
(0.0003811149107499203+0j),[0.01844962],[1.],[0.0343919],[1.],"(array([0.01057544]), array([0.00989827]))","(array([0.0100156]), array([0.00148272]))","(array([0.00982162]), array([0.00176059]))","(array([0.0093344]), array([0.00205401]))","(array([0.00870465]), array([0.00235767]))","(array([0.00814097]), array([0.00266838]))","(array([0.00768668]), array([0.00298177]))","(array([0.00748861]), array([0.00328676]))","(array([0.00743729]), array([0.00356977]))","(array([0.00750777]), array([0.00382528]))","(array([0.00767569]), array([0.00405324]))"
(0.0004091496770782242+0j),[0.01927846],[1.],[0.0355466],[1.],"(array([0.01027443]), array([0.01043831]))","(array([0.00982162]), array([0.00176059]))","(array([0.0093344]), array([0.00205401]))","(array([0.00870465]), array([0.00235767]))","(array([0.00814097]), array([0.00266838]))","(array([0.00768668]), array([0.00298177]))","(array([0.00748861]), array([0.00328676]))","(array([0.00743729]), array([0.00356977]))","(array([0.00750777]), array([0.00382528]))","(array([0.00767569]), array([0.00405324]))","(array([0.00788518]), array([0.00425364]))"
