Es,Sx,Sxx,Sy,Syy,P-10,P-9,P-8,P-7,P-6,P-5,P-4,P-3,P-2,P-1,P0
(0.015149931570875028+0j),[-1.42472299e-15],[1.],[-0.24373274],[1.],[-0.08940778],[-0.03862636],[-0.03806794],[-0.04046571],[-0.04327137],[-0.04524654],[-0.04677471],[-0.04632463],[-0.04585243],[-0.04735963],[-0.0514757]
(0.015500071328926526+0j),[-1.50674411e-15],[1.],[-0.24638028],[1.],[-0.09388372],[-0.03806823],[-0.04046596],[-0.04327162],[-0.04524677],[-0.04677491],[-0.04632482],[-0.04585258],[-0.04735978],[-0.05147585],[-0.05525703]
(0.014545693743956622+0j),[-1.87975571e-15],[1.],[-0.23864885],[1.],[-0.09275233],[-0.04046631],[-0.04327189],[-0.04524705],[-0.04677517],[-0.04632504],[-0.04585281],[-0.04735997],[-0.05147602],[-0.05525719],[-0.05468376]
(0.025197518453496315+0j),[-1.99371618e-15],[1.],[-0.31266289],[1.],[-0.10265733],[-0.04327222],[-0.04524735],[-0.04677547],[-0.04632531],[-0.04585304],[-0.0473602],[-0.05147622],[-0.05525737],[-0.05468396],[-0.06219066]
(0.03779422046444128+0j),[-2.50822295e-15],[1.],[-0.38030193],[1.],[-0.12143821],[-0.04524776],[-0.04677583],[-0.04632567],[-0.04585339],[-0.04736051],[-0.05147651],[-0.05525764],[-0.05468419],[-0.06219091],[-0.07816557]
(0.05187006369478094+0j),[-3.40609695e-15],[1.],[-0.44178078],[1.],[-0.13797365],[-0.04677639],[-0.04632617],[-0.04585386],[-0.04736098],[-0.05147694],[-0.05525807],[-0.05468455],[-0.06219126],[-0.07816594],[-0.09272532]
(0.06701517465818582+0j),[-2.64818018e-15],[1.],[-0.49729594],[1.],[-0.15269364],[-0.04632687],[-0.04585449],[-0.04736155],[-0.05147755],[-0.05525861],[-0.05468508],[-0.06219173],[-0.07816644],[-0.09272582],[-0.10591658]
(0.07317821548425969+0j),[-2.13936248e-15],[1.],[-0.51657286],[1.],[-0.1606404],[-0.04585523],[-0.04736221],[-0.05147824],[-0.05525929],[-0.05468569],[-0.06219234],[-0.07816703],[-0.09272638],[-0.10591715],[-0.11431278]
(0.08098544848810028+0j),[-1.49473299e-15],[1.],[-0.53980237],[1.],[-0.16496467],[-0.04736308],[-0.05147896],[-0.05526006],[-0.05468637],[-0.06219303],[-0.07816772],[-0.09272702],[-0.10591778],[-0.11431337],[-0.11910868]
(0.08585410219176437+0j),[-1.85009017e-15],[1.],[-0.55275101],[1.],[-0.17054383],[-0.05148004],[-0.05526089],[-0.05468716],[-0.06219387],[-0.07816854],[-0.09272783],[-0.10591851],[-0.11431408],[-0.11910933],[-0.12317983]
